track_name,acousticness,danceability,energy,instrumentalness,loudness,tempo,valence,happiness,sadness,love,calm,energetic
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",0.774862719,0.1792065663,0.2922702643,0,0.6445220193,0.7307762129,0.4281430713,0,0,1,0,0
Better Together,0.8311470393,0.5034199726,0.220894112,0,0.6918098818,0.5228471877,0.6798029557,0,0,1,0,0
Take Me Home,0.7617967161,0.3803009576,0.3917947584,0,0.7488721805,0.1964161274,0.631612765,1,0,0,0,0
Fast Car,0.1868925879,0.7222982216,0.6008967257,0,0.8524167562,0.2885603022,0.6798029557,0,0,0,1,0
Photograph,0.6100300669,0.5882352941,0.3757099917,0.0005,0.719226638,0.3470910315,0.1775540801,0,1,1,0,0
Perfect,0.1637758135,0.5677154583,0.4450755481,0,0.8311493018,0.2713202354,0.142214607,0,0,1,0,0
Thinking out Loud,0.4763548063,0.8166894665,0.4420596544,0,0.8378893663,0.1773197084,0.5952023988,0,0,1,0,0
I'm Yours,0.5617863638,0.7099863201,0.4410543565,0,0.7500805585,0.5987292478,0.7247804669,0,0,1,0,0
Summertime,0.04789041845,0.5225718194,0.6451298342,0,0.8176423201,0.3703452113,0.1979010495,0,0,1,0,1
Just the Way You Are,0.0134162723,0.6169630643,0.8401576307,0,0.8562030075,0.3531344245,0.4163632469,0,0,1,0,0
Marry You,0.3336338514,0.5978112175,0.8190463744,0,0.8700053706,0.5632711621,0.4463482544,0,0,1,0,1
Rude,0.04236249414,0.805745554,0.7567179034,0,0.8665682062,0.5581647293,0.9528807025,0,0,1,0,0
Unwritten,0.005817889067,0.7140902873,0.798940416,0,0.8305853921,0.3003718561,0.6358963375,1,0,0,0,0
STAY (with Justin Bieber),0.03844269327,0.5567715458,0.7627496909,0,0.8533834586,0.7098058736,0.4741914757,0,0,1,0,1
Welcome To The Real World,0.2250855195,0.7099863201,0.7838609472,0,0.8688506982,0.5924281908,0.8222317413,0,1,0,0,1
Get Lucky (feat. Pharrell Williams and Nile Rodgers),0.03794015469,0.8563611491,0.7919033306,1.91E-06,0.7481203008,0.3942962551,0.8864853288,1,0,0,0,0
Hear Me Now,0.5487203609,0.8125854993,0.4601550169,0.003114224138,0.7964822771,0.4291336047,0.4934675519,0,0,1,1,0
Following The Sun,0.3999689431,0.7523939808,0.8270887578,0.02424568966,0.8816058002,0.4585541534,0.7301349325,1,0,0,0,0
Love Don't Cost A Thing,0.003013723826,0.8235294118,0.8411629286,3.81E-06,0.863292159,0.2861183498,0.6958663525,0,0,1,0,1
Catch & Release - Deepend Remix,0.5577660552,0.8946648427,0.5335417651,0.0004051724138,0.7685016112,0.3295171727,0.07689012637,0,0,0,1,0
As Long as You Love Me,0.1647808907,0.8084815321,0.8150251827,0,0.8520408163,0.2898779024,0.768687085,0,0,1,0,1
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),0.6753600815,0.8125854993,0.5637007027,0.0002122844828,0.8137755102,0.4055456329,0.4752623688,0,0,1,0,1
Riptide,0.433136489,0.4103967168,0.7295748595,0,0.8208915145,0.3099932656,0.5084600557,0,0,1,0,1
Peaches (feat. Daniel Caesar & Giveon),0.3225780028,0.6744186047,0.6943894323,0,0.8346670247,0.2419231107,0.4591989719,0,0,1,0,0
Runaway,0.2200601338,0.2599179207,0.5657112985,0.002359913793,0.8979323308,0.2109038737,0.08117369886,0,0,0,1,0
I Feel It Coming,0.4301212575,0.805745554,0.8180410765,0,0.8409774436,0.2592393055,0.5887770401,1,0,1,0,0
Know Ya,0.1818672022,0.5417236662,0.6149708966,0,0.8078410311,0.1825666852,0.5245234526,1,0,1,0,0
Where Are You Now,0.5175629693,0.6662106703,0.6340715571,0.000442887931,0.7826799141,0.4230843557,0.2428785607,0,0,1,0,0
The One,0.0007643611705,0.6935704514,0.7939139264,1.10E-06,0.8926691729,0.4992416479,0.9004069394,1,0,0,1,0
Are You With Me,0.276344454,0.7920656635,0.6079338112,2.92E-05,0.7832975295,0.4234649958,0.382094667,0,0,0,1,0
Cool Kids,0.0373371084,0.731874145,0.6692569843,8.85E-06,0.8320354458,0.4761455802,0.8040265581,1,0,0,0,1
Budapest,0.08497776518,0.7291381669,0.4521126336,0,0.7776852846,0.4631745381,0.3788819876,0,0,1,0,0
Sleep On It,0.5447000523,0.2954856361,0.5194675942,0,0.8028464017,0.4175562908,0.871492825,1,0,0,0,1
Bubbly,0.6060097583,0.7017783858,0.4712132941,0,0.8217239527,0.4637132902,0.2289569501,1,0,0,0,0
A Sky Full of Stars,0.006149564525,0.4938440492,0.673278176,0.002122844828,0.8267991407,0.4465317834,0.1357892482,0,0,1,0,0
Yellow,0.002350372909,0.3351573187,0.6592040051,0.000130387931,0.8065789474,0.7299739408,0.2675091026,0,0,1,0,0
I Should've Known,0.3698166287,0.4062927497,0.5325364672,0,0.8993555317,0.7079202413,0.1711287214,0,1,0,0,0
Cruel Summer,0.1175422648,0.5034199726,0.7004212198,2.22E-05,0.8473952739,0.7101923696,0.5662882844,1,0,1,0,0
Beautiful People,0.1245778048,0.6238030096,0.6451298342,0,0.7827604726,0.2591924575,0.5470122082,1,0,0,0,0
Fendi Gucci Vuitton,0.004792710376,0.8454172367,0.9356609331,0.01637931034,0.8685821697,0.4526922964,0.7494110088,0,0,0,0,1
Be The One,0.1175422648,0.6525307798,0.6491510259,1.40E-05,0.8993823845,0.2268731883,0.356393232,0,0,0,0,1
Ecstasy,0.02386907463,0.2667578659,0.8974596122,0.02855603448,0.9418367347,0.5944133751,0.1004497751,0,0,0,0,1
Wahran (Squid Kids Remix),0.4190654089,0.1983584131,0.7687814784,1.43E-06,0.8942803437,0.4645272743,0.3189119726,0,0,0,0,1
Traffic,0.7165682445,0.8166894665,0.4812662733,0.004181034483,0.7966433942,0.4755307001,0.4891839794,0,0,0,0,1
Heute Nacht,0.01964775061,0.5813953488,0.911533783,0.5150862069,0.823603652,0.5054255849,0.004176483187,0,0,0,0,1
You,0.2662936825,0.7496580027,0.8381470349,0,0.8661922664,0.4158112025,0.6358963375,1,0,0,0,1
Vibration (One More Time) (feat. AR/CO),0.3296135428,0.46374829,0.9597880832,0.03459051724,0.9827604726,0.7336925014,0.09295352324,0,0,0,0,1
Misbehave,0.3225780028,0.7523939808,0.8572476954,0.01174568966,0.8551020408,0.4410622786,0.5502248876,0,0,0,0,1
Love Me Again (feat. AI Vocals),0.005586721323,0.6566347469,0.836136439,0.006433189655,0.7831095596,0.4171697947,0.002248875562,0,0,1,0,1
Trujillana,0.0454782333,0.7291381669,0.8029616077,0.3771551724,0.7985499463,0.4517553363,0.6069822232,0,0,0,0,1
All For One,0.119552419,0.6470588235,0.9849205312,0,0.9141783029,0.5933300149,0.7933176269,0,0,0,0,1
Revolution,0.8552688908,0.1053351573,0.2922702643,0.03286637931,0.6187969925,0.5128451381,0.2921396445,0,0,0,0,1
Tell Me Why - MEDUZA Remix,0.08738995033,0.5157318741,0.9276185498,0.963362069,0.844575725,0.4524931924,0.1572071107,0,0,0,0,1
Vivaldi,0.9618070684,0.3351573187,0.2540689433,0.9622844828,0.5450322234,0.1762129242,0.06639537374,0,0,0,0,1
Huna (feat. Ravid Kahalani),0.0003351932286,0.487004104,0.8964543142,0.01120689655,0.830773362,0.5345240535,0.1968301564,0,0,0,0,1
