track_name,acousticness,danceability,energy,instrumentalness,loudness,tempo,valence
Leave Before You Love Me (with Jonas Brothers),0.002219712879611357,0.734610123119015,0.7366119449498859,4.752155172413793e-06,0.8725563909774436,0.41728691476590635,0.6444634825444421
Sunroof,0.3537353943445314,0.79890560875513,0.7124847948689594,0.0,0.8634264232008593,0.4844376775100285,0.8639965731420004
Better Not (with Wafia),0.279359685451056,0.8194254445964432,0.5345470630221266,0.0,0.9222073039742213,0.382221181155389,0.38316556007710434
Night Feels,0.0717107468376504,0.7564979480164157,0.6803152614277241,0.009870689655172413,0.8878625134264232,0.4527274324363892,0.38316556007710434
West Coast (feat. Quinn XCII),0.002440829851997365,0.725034199726402,0.7969298201522022,0.000730603448275862,0.8868152524167562,0.41167100986736155,0.6680231312914972
Stay Next To Me (with Chelsea Cutler),0.08085694887725345,0.5430916552667577,0.5817960652639409,0.0,0.8683136412459721,0.7685181389629023,0.7718997644035126
Geronimo,0.4582634176542806,0.712722298221614,0.7788344575915073,0.0016379310344827585,0.832357679914071,0.5464234474277516,0.4517027200685372
Anyone,0.1858875107606072,0.6853625170998632,0.518462296301509,3.86853448275862e-06,0.7781686358754029,0.39333001493280245,0.5812807881773399
Icee Pop,0.12055749619201396,0.9986320109439123,0.5697324902234777,0.0,0.8232545649838884,0.5052030568324892,0.8875562218890555
Change My Mind,0.3959486345273147,0.7058823529411763,0.6380927487861028,0.0,0.8521482277121375,0.7562205369952861,0.7569072606553866
moon and back,0.5738472895833301,0.5608755129958959,0.4913192524604666,2.672413793103448e-05,0.8861976369495167,0.7695605071296812,0.48275862068965514
The Lows,0.11553211045596833,0.6046511627906976,0.6240185779055624,0.0,0.8099624060150377,0.2082159693145551,0.821160848147355
Paradise,0.051106665319863284,0.362517099863201,0.5828013631839796,9.428879310344826e-05,0.8190923737916219,0.5323866131818582,0.18933390447633328
Antibodies - LP Giobbi Remix,0.17583673928851593,0.5827633378932967,0.7637549887909282,1.131465517241379e-06,0.8686895810955961,0.44687143149942904,0.22253159134718353
Your Light,0.02055232004470583,0.5937072503419972,0.9557668915183014,0.35560344827586204,0.918421052631579,0.30042456006792956,0.7890340544013708
Upside Down,0.2562429110652461,0.8317373461012311,0.645129834226373,0.00024030172413793102,0.777389903329753,0.3148127543700407,0.7055043906618119
Come Hang Out,0.0038077347722017775,0.5854993160054719,0.7235430719893841,0.0,0.875295381310419,0.24794893567182968,0.37566930820304134
Magic In The Hamptons (feat. Lil Yachty),0.6632991556849425,0.8002735978112175,0.47623978365988756,0.0,0.8572771213748658,0.27718209234913477,0.8222317412722211
Unbreakable,0.0033755515989018527,0.374829001367989,0.8482000140741709,1.2931034482758619e-06,0.8866809881847476,0.24125552660088428,0.3788819875776398
Who Do You Love,0.033718830673145385,0.6785225718194254,0.4078795250972625,0.0,0.7385338345864663,0.8456826633092263,0.13471835510816021
Bad Habit,0.6291265326798322,0.6867305061559508,0.5043881254209686,8.092672413793102e-05,0.8100698174006445,0.7041079846572778,0.7012208181623474
Wherever I Go,0.10045595324783142,0.4870041039671682,0.673278175987454,0.0,0.8274704618689581,0.3001317600210816,0.33497536945812806
Another Life (feat. FLETCHER & Josh Golden),0.019848766041659444,0.6347469220246238,0.7225377740693454,0.0,0.8613050483351236,0.4467894474863116,0.3713857357035768
Straight Up Relaxin' (feat. Cosmo's Midnight),0.07583156314120781,0.6757865937072504,0.6722728780674153,2.758620689655172e-06,0.8066595059076263,0.3586566333850613,0.7204968944099379
Bedroom Eyes (feat. Studio Killers),0.003466008542150674,0.6388508891928865,0.7848662451117389,7.532327586206896e-05,0.9006176154672396,0.35312271249963406,0.4056543156992932
Burn The House Down,0.036533046685330944,0.36935704514363876,0.6581987071868749,0.0,0.8836466165413535,0.7942786870845902,0.5705718569286785
I Wanna Help Your Mind,0.2009636679687441,0.7701778385772914,0.7235430719893841,0.21228448275862066,0.7719387755102042,0.4170878107340497,0.8179481687727566
ME WITHOUT U,0.017637596317799365,0.7236662106703146,0.9055019955163713,6.799568965517241e-05,0.9389097744360902,0.4410447105671537,0.7472692225315913
CLASH - Edit,0.0023905759946369082,0.4774281805745554,0.7144953907090366,0.2446120689655172,0.73968850698174,0.41776710684273716,0.36924394945384453
Better Than This,0.017738104032520276,0.6689466484268125,0.8381470348737848,0.44827586206896547,0.8183941997851772,0.44688314350130304,0.21931891197258513
Dandelion,0.015727949738102022,0.5813953488372092,0.6903682406281101,0.0,0.9212137486573577,0.39961935993909764,0.4484900406939388
Views,0.06598180709855836,0.28864569083447333,0.8512159078342867,0.0,0.8423200859291086,0.16226978596316577,0.08224459198971944
Keep On Rising,0.011104594860940039,0.5937072503419972,0.7587284991907352,1.3685344827586205e-05,0.8001611170784104,0.41740403478464555,0.5737845363032769
